ID	Grade	Item	Hit	Miss	TL
49	3	17	26	4	14
49	3	18	21	9	10
49	3	19	22	8	13
49	3	20	23	7	14
50	3	1	16	14	15
50	3	2	20	10	15
50	3	3	14	16	12
50	3	4	12	18	10
50	3	5	18	12	12
50	3	6	15	15	10
50	3	7	15	15	11
50	3	8	11	19	11
50	3	9	14	16	15
50	3	10	12	18	15
50	3	11	14	16	11
50	3	12	18	12	10
50	3	13	17	13	12
50	3	14	13	17	10
50	3	15	10	20	15
50	3	16	15	15	11
50	3	17	13	17	14
50	3	18	14	16	10
50	3	19	12	18	13
50	3	20	15	15	14
51	3	1	19	11	15
51	3	2	18	12	15
51	3	3	20	10	12
51	3	4	14	16	10
51	3	5	16	14	12
51	3	6	18	12	10
51	3	7	18	12	11
51	3	8	20	10	11
51	3	9	19	11	15
51	3	10	20	10	15
51	3	11	20	10	11
51	3	12	20	10	10
51	3	13	20	10	12
51	3	14	15	15	10
51	3	15	20	10	15
51	3	16	16	14	11
51	3	17	23	7	14
51	3	18	14	16	10
51	3	19	19	11	13
51	3	20	14	16	14
52	3	1	22	8	15
52	3	2	18	12	15
52	3	3	23	7	12
52	3	4	20	10	10
52	3	5	22	8	12
52	3	6	20	10	10
52	3	7	23	7	11
52	3	8	17	13	11
52	3	9	28	2	15
52	3	10	28	2	15
52	3	11	24	6	11
52	3	12	24	6	10
52	3	13	27	3	12
52	3	14	17	13	10
52	3	15	24	6	15
52	3	16	14	16	11
52	3	17	26	4	14
52	3	18	16	14	10
52	3	19	24	6	13
52	3	20	17	13	14
53	3	1	14	16	15
53	3	2	12	18	15
53	3	3	20	10	12
53	3	4	14	16	10
53	3	5	15	15	12
53	3	6	14	16	10
53	3	7	17	13	11
53	3	8	16	14	11
53	3	9	16	14	15
53	3	10	20	10	15
53	3	11	14	16	11
53	3	12	18	12	10
53	3	13	16	14	12
53	3	14	17	13	10
53	3	15	18	12	15
53	3	16	15	15	11
53	3	17	19	11	14
53	3	18	16	14	10
53	3	19	18	12	13
53	3	20	17	13	14
54	3	1	18	12	15
54	3	2	18	12	15
54	3	3	16	14	12
54	3	4	20	10	10
54	3	5	19	11	12
54	3	6	19	11	10
54	3	7	18	12	11
54	3	8	19	11	11
54	3	9	17	13	15
54	3	10	20	10	15
54	3	11	23	7	11
54	3	12	22	8	10
54	3	13	19	11	12
54	3	14	20	10	10
54	3	15	19	11	15
54	3	16	20	10	11
54	3	17	19	11	14
54	3	18	19	11	10
54	3	19	17	13	13
54	3	20	19	11	14
55	3	1	16	14	15
55	3	2	12	18	15
55	3	3	12	18	12
55	3	4	16	14	10
55	3	5	13	17	12
55	3	6	15	15	10
55	3	7	16	14	11
55	3	8	17	13	11
55	3	9	15	15	15
55	3	10	17	13	15
55	3	11	28	2	11
55	3	12	22	8	10
55	3	13	21	9	12
55	3	14	15	15	10
55	3	15	18	12	15
55	3	16	17	13	11
55	3	17	20	10	14
55	3	18	17	13	10
55	3	19	18	12	13
55	3	20	20	10	14
56	3	1	23	7	15
56	3	2	16	14	15
56	3	3	22	8	12
56	3	4	19	11	10
56	3	5	20	10	12
56	3	6	24	6	10
56	3	7	21	9	11
56	3	8	24	6	11
56	3	9	25	5	15
56	3	10	25	5	15
56	3	11	25	5	11
56	3	12	26	4	10
56	3	13	26	4	12
56	3	14	25	5	10
56	3	15	22	8	15
56	3	16	23	7	11
56	3	17	26	4	14
56	3	18	26	4	10
56	3	19	22	8	13
56	3	20	20	10	14
57	3	1	17	13	15
57	3	2	19	11	15
57	3	3	16	14	12
57	3	4	12	18	10
57	3	5	14	16	12
57	3	6	14	16	10
57	3	7	16	14	11
57	3	8	16	14	11
57	3	9	20	10	15
57	3	10	20	10	15
57	3	11	16	14	11
57	3	12	20	10	10
57	3	13	21	9	12
57	3	14	18	12	10
57	3	15	18	12	15
57	3	16	14	16	11
57	3	17	19	11	14
57	3	18	14	16	10
57	3	19	17	13	13
57	3	20	19	11	14
58	3	1	23	7	15
58	3	2	15	15	15
58	3	3	20	10	12
58	3	4	14	16	10
58	3	5	17	13	12
58	3	6	18	12	10
58	3	7	28	2	11
58	3	8	21	9	11
58	3	9	27	3	15
58	3	10	25	5	15
58	3	11	18	12	11
58	3	12	30	0	10
58	3	13	19	11	12
58	3	14	14	16	10
58	3	15	19	11	15
58	3	16	17	13	11
58	3	17	17	13	14
